---,RoomID,RoomSize,RoomWeight,DoorPoints,RoomType,RoomTheme,RoomState,RoomLevelInstance
Q1_001,"1","(X=1600.000000,Y=1600.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=1600.000000,Y=800.000000,Z=2.000000),(X=800.000000,Y=1600.000000,Z=3.000000),(X=0.000000,Y=800.000000,Z=4.000000))","BEDROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Quad1_Rooms/L_Mini_Q1_001.L_Mini_Q1_001"
R2_001,"11","(X=1600.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=1600.000000,Y=800.000000,Z=2.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=800.000000,Y=3200.000000,Z=3.000000),(X=0.000000,Y=800.000000,Z=4.000000))","LIVINGROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Rectangle2_Rooms/L_Mini_R2_001.L_Mini_R2_001"
R2_002,"12","(X=1600.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=1600.000000,Y=800.000000,Z=2.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=800.000000,Y=3200.000000,Z=3.000000))","KITCHEN","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Rectangle2_Rooms/L_Mini_R2_002.L_Mini_R2_002"
R2_003,"13","(X=1600.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=1600.000000,Y=800.000000,Z=2.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=0.000000,Y=2400.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","KITCHEN","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Rectangle2_Rooms/L_Mini_R2_003.L_Mini_R2_003"
R2_004,"14","(X=1600.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=1600.000000,Y=800.000000,Z=2.000000),(X=0.000000,Y=2400.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","BATHROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Rectangle2_Rooms/L_Mini_R2_004.L_Mini_R2_004"
R2_005,"15","(X=1600.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=800.000000,Y=3200.000000,Z=3.000000),(X=0.000000,Y=800.000000,Z=4.000000))","BATHROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Rectangle2_Rooms/L_Mini_R2_005.L_Mini_R2_005"
R2_006,"16","(X=1600.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=1600.000000,Y=800.000000,Z=2.000000),(X=800.000000,Y=3200.000000,Z=3.000000),(X=0.000000,Y=2400.000000,Z=4.000000))","CORRIDOR","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Rectangle2_Rooms/L_Mini_R2_006.L_Mini_R2_006"
R2_007,"17","(X=1600.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=800.000000,Y=3200.000000,Z=3.000000),(X=0.000000,Y=800.000000,Z=4.000000))","BEDROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Rectangle2_Rooms/L_Mini_R2_007.L_Mini_R2_007"
R2_008,"18","(X=1600.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=1600.000000,Y=800.000000,Z=2.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=800.000000,Y=3200.000000,Z=3.000000))","BEDROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Rectangle2_Rooms/L_Mini_R2_008.L_Mini_R2_008"
R3_001,"21","(X=1600.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=1600.000000,Y=800.000000,Z=2.000000),(X=1600.000000,Y=4000.000000,Z=2.000000),(X=800.000000,Y=4800.000000,Z=3.000000),(X=0.000000,Y=2400.000000,Z=4.000000))","LIVINGROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Rectangle3_Rooms/L_Mini_R3_001.L_Mini_R3_001"
R3_002,"22","(X=1600.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=1600.000000,Y=800.000000,Z=2.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=1600.000000,Y=4000.000000,Z=2.000000),(X=0.000000,Y=4000.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","CORRIDOR","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Rectangle3_Rooms/L_Mini_R3_002.L_Mini_R3_002"
R3_003,"23","(X=1600.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=1600.000000,Y=800.000000,Z=2.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=1600.000000,Y=4000.000000,Z=2.000000),(X=0.000000,Y=4000.000000,Z=4.000000))","BATHROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Rectangle3_Rooms/L_Mini_R3_003.L_Mini_R3_003"
R3_004,"24","(X=1600.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=1600.000000,Y=800.000000,Z=2.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=1600.000000,Y=4000.000000,Z=2.000000),(X=800.000000,Y=4800.000000,Z=3.000000),(X=0.000000,Y=800.000000,Z=4.000000))","BEDROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Rectangle3_Rooms/L_Mini_R3_004.L_Mini_R3_004"
R3_005,"25","(X=1600.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=1600.000000,Y=800.000000,Z=2.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=1600.000000,Y=4000.000000,Z=2.000000),(X=800.000000,Y=4800.000000,Z=3.000000))","KITCHEN","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Rectangle3_Rooms/L_Mini_R3_005.L_Mini_R3_005"
R3_006,"26","(X=1600.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=1600.000000,Y=800.000000,Z=2.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=800.000000,Y=4800.000000,Z=3.000000),(X=0.000000,Y=2400.000000,Z=4.000000))","CORRIDOR","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Rectangle3_Rooms/L_Mini_R3_006.L_Mini_R3_006"
L3_001,"31","(X=3200.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=2400.000000,Y=0.000000,Z=1.000000),(X=3200.000000,Y=800.000000,Z=2.000000),(X=800.000000,Y=3200.000000,Z=3.000000),(X=0.000000,Y=2400.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","BEDROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/L3_Rooms/L_Mini_L3_001.L_Mini_L3_001"
