{4268b3b5-acc8-435a-a569-1ff183fd0f99} bank:/Master
{da759361-ddb3-0f18-2320-950f720e0901} bank:/Master.strings
{4c096556-1bef-44cb-9430-f738f53e8eb5} bank:/Music/Music
{6e6e2b16-f3c5-420e-8dcd-3631f75ccb67} bank:/SoundFX/SoundFX
{1eabbe24-e91b-44c9-af93-a4857636fd5c} bus:/
{d4022445-0397-432c-93c5-7bd9cfc1589d} bus:/Music
{ff916377-10cf-4e01-b617-1be64035499f} bus:/Music/Hub
{625caa4c-dcd0-4389-8db3-7e97baf007fb} bus:/Music/Level
{be0429a8-5470-4a54-948d-473553430a6d} bus:/Music/MainMenu
{6bbf7a7f-a75c-42a8-9478-2ccbe15e441b} bus:/Reverb
{03e86fd8-c4c0-42a6-85e3-a745974df133} bus:/SoundFX
{67d13f2b-48c2-430b-bb9d-6d242d036c72} bus:/SoundFX/Ambient
{007bd1c5-67f4-46d7-9a2e-ccc7702c7870} bus:/SoundFX/CombatDorothyVoice
{0de03ce5-c04e-4fa3-a025-de697d10fbaa} bus:/SoundFX/Dialogue
{3cbc61c5-80c2-4301-af9f-01b8d264bc94} bus:/SoundFX/Enemies
{8c3eafe0-2bc2-457f-978f-12fdbcece708} bus:/SoundFX/UIAndNondiegetic
{5ac3e947-98f7-4259-a4e6-504d2c22398e} bus:/SoundFX/WeaponsAndDorothy
{2cefc470-11d7-4492-9238-2e85e3d06f1f} event:/Music/Hub/MSC_HUB_hubTrack
{98fbc7fd-1142-42b8-a429-9a93c253f9e1} event:/Music/Level/demo/MSC_LVL_alphaCombatTrack
{c370e8e0-6ea6-488a-b3c4-5fa97f63ac2b} event:/Music/Level/trackA/track_A_antiguo
{89b5985f-39a6-4d07-946a-336fdf025018} event:/Music/Level/trackA/track_A_nuevo
{cc52abcf-ea5e-47c5-9895-0ec17959c4ac} event:/Music/Level/trackA/track_B
{354c960d-f35b-4d6b-8804-68058171f35f} event:/Music/mainMenu/MSC_MAIN_mainMenuTrack
{6a2b69a5-e959-4d8c-8f24-4d695a140733} event:/SoundFX/Ambience/SFX_AMB_defaultLevel_roomTone
{9cf26fae-04a2-49d8-8ab7-10b516df4cee} event:/SoundFX/Ambience/SFX_AMB_hub_roomTone
{fb4476f7-b588-43b9-9980-855e7705cd73} event:/SoundFX/Characters/Dialogue/Dorothy/SFX_DIAL_dorothy_angry
{e4c812d4-0411-4aee-b8e3-d4319e2da86a} event:/SoundFX/Characters/Dialogue/Dorothy/SFX_DIAL_dorothy_determinate
{46ac6f90-d415-45fa-80ff-c29c42a50c92} event:/SoundFX/Characters/Dialogue/Dorothy/SFX_DIAL_dorothy_flexing
{104138ed-c10a-4aa8-b3d2-f4779974df5d} event:/SoundFX/Characters/Dialogue/Dorothy/SFX_DIAL_dorothy_neutral
{ce70036e-341a-4ecc-9458-2abb65f0a551} event:/SoundFX/Characters/Dialogue/Dorothy/SFX_DIAL_dorothy_question
{a3d4fa8f-a300-4d94-979a-df447fb05710} event:/SoundFX/Characters/Dialogue/Gorch/SFX_DIAL_gorch_angry
{fb84e851-a899-4b56-932c-93563e340c23} event:/SoundFX/Characters/Dialogue/Gorch/SFX_DIAL_gorch_gift
{d313cb44-3be0-4387-940b-780b942ee14c} event:/SoundFX/Characters/Dialogue/Gorch/SFX_DIAL_gorch_happy
{f83c50ad-295b-4e9c-821d-65ce0149ed99} event:/SoundFX/Characters/Dialogue/Gorch/SFX_DIAL_gorch_wink
{a61d81c4-0766-461f-9131-e846f8e63e24} event:/SoundFX/Characters/Dialogue/Gorch/VSFX_DIAL_gorch_neutral
{dea9f98e-3e82-454e-9804-59474b0859c8} event:/SoundFX/Characters/Dialogue/LordKaios/SFX_DIAL_kaios_angry
{37e3ab8d-a0ef-4afb-81b7-12ad639bf202} event:/SoundFX/Characters/Dialogue/LordKaios/SFX_DIAL_kaios_back
{638ebcd1-75b2-4da1-af6f-df72409135e3} event:/SoundFX/Characters/Dialogue/LordKaios/SFX_DIAL_kaios_evilLaugh
{1db9f8d5-4310-4b7b-9ba3-b6f8f722d23f} event:/SoundFX/Characters/Dialogue/LordKaios/SFX_DIAL_kaios_fear
{91e86c7a-c467-4c72-a896-0339e411a396} event:/SoundFX/Characters/Dialogue/LordKaios/SFX_DIAL_kaios_neutral
{c4bde89d-7ca6-41ca-98c5-706abbd9bf38} event:/SoundFX/Characters/Dialogue/SFX_DIAL_typeWriterLoop
{2e4ccbe2-fbb9-496e-a983-13e1869a39de} event:/SoundFX/Characters/Dorothy/Effects/SFX_DOR_clumsyDorothyThud
{2a8ebb4a-6f35-4eec-a17b-2e6817eff995} event:/SoundFX/Characters/Dorothy/Effects/SFX_DOR_dash
{779307dc-782d-4e6d-96bb-88ab833d9834} event:/SoundFX/Characters/Dorothy/Effects/SFX_DOR_dash_hyah
{bed0f5e6-8950-4449-b6ef-979a4dc4ef25} event:/SoundFX/Characters/Dorothy/Effects/SFX_DOR_step_onWood
{48e5767c-49ef-496e-892e-866c259125f9} event:/SoundFX/Characters/Enemies/DustBunnies/SFX_ENE_dustBunny_attack_charge
{7739f1d7-bcaa-4d97-badd-e84ccaa109d8} event:/SoundFX/Characters/Enemies/DustBunnies/SFX_ENE_dustBunny_attack_hyah
{4c30b63f-795b-45a5-925e-a4ae2b619c41} event:/SoundFX/Characters/Enemies/DustBunnies/SFX_ENE_dustBunny_attack_projectileToss
{0b9f13ac-92ba-4ad1-9c27-e79fc59952c2} event:/SoundFX/Characters/Enemies/DustBunnies/SFX_ENE_dustBunny_deathVoice
{20e8d1a2-d227-427c-8f46-992bb670c664} event:/SoundFX/Characters/Enemies/DustBunnies/SFX_ENE_dustBunny_dustSpeckDamaged
{833ebdb0-aab4-4938-ae58-35b29c284f8e} event:/SoundFX/Characters/Enemies/DustBunnies/SFX_ENE_dustBunny_dustSpeckDeath
{ac9cd4a5-8278-4084-8b07-69f253a42d47} event:/SoundFX/Characters/Enemies/DustBunnies/SFX_ENE_dustBunny_dustSpeckFormation
