Date/Time,Word Count,en,es-ES,it-IT
2025.03.28-22.20.29,14,14,0,0
2025.03.28-22.30.18,5,5,0,0
2025.03.28-22.37.33,0,0,0,0
2025.03.28-22.48.32,8,8,0,0
2025.03.30-21.56.53,4,4,0,0
2025.04.05-21.28.00,18,18,0,0
2025.04.05-21.30.25,17,17,0,0
2025.04.05-21.31.48,16,16,0,0
2025.04.10-02.50.14,22,22,0,0
2025.04.14-23.14.09,21,21,0,0
2025.04.14-23.16.33,13,13,0,0
2025.09.05-17.21.21,139,139,0,0
2025.09.05-17.29.02,14,14,0,0
2025.09.19-01.33.18,26,26,0,0
2025.09.22-16.21.27,41,41,0,0
2025.09.26-17.51.57,443,443,0,0
2025.09.27-12.46.22,444,444,0,0
2025.09.27-20.24.35,445,445,0,0
2025.09.30-15.34.58,445,443,0,0
2025.09.30-15.35.22,450,450,0,0
2025.09.30-15.35.59,450,448,0,0
2025.09.30-16.19.23,453,453,0,0
2025.09.30-17.51.00,461,461,0,0
2025.10.06-16.53.10,462,462,0,0
2025.10.06-17.00.17,471,471,0,0
2025.10.06-18.00.24,475,475,0,0
2025.10.07-13.47.45,475,475,0,84
2025.10.07-13.50.16,475,475,89,84
2025.10.08-11.33.39,476,476,0,0
2025.10.08-13.51.19,476,476,73,0
2025.10.09-17.19.52,533,533,0,0
2025.10.09-17.21.14,533,533,0,130
2025.10.09-17.21.54,533,533,130,130
2025.10.09-19.38.55,533,533,0,0
2025.10.09-19.39.35,533,533,0,75
2025.10.09-19.40.25,533,533,248,75
2025.10.09-19.48.19,533,533,0,0
2025.10.09-20.58.12,546,546,0,0
2025.10.09-21.12.22,544,544,0,0
2025.10.10-13.28.49,543,543,0,0
2025.10.10-13.30.30,543,543,0,130
2025.10.10-13.31.36,543,543,140,130
2025.10.10-13.41.10,543,543,0,0
2025.10.10-13.41.51,543,543,0,75
2025.10.10-13.42.25,543,543,247,75
2025.10.13-17.38.46,553,553,0,0
2025.10.14-16.32.20,555,555,0,0
2025.10.14-16.50.59,556,556,0,0
2025.10.16-16.02.25,558,558,0,0
2025.10.17-15.05.26,563,563,0,0
2025.10.17-16.02.08,563,563,0,130
2025.10.17-16.06.52,563,563,158,0
2025.10.20-16.59.01,470,470,0,0
2025.10.20-17.03.38,470,470,308,0
2025.10.20-17.12.19,466,466,0,0
2025.10.21-17.47.02,466,466,308,0
2025.10.23-10.43.20,466,466,0,0
2025.10.23-10.44.12,466,466,308,0
2025.10.23-10.49.21,467,467,0,0
2025.10.23-10.51.04,467,467,309,0
2025.10.23-12.01.18,467,467,0,0
2025.10.23-12.01.47,467,467,309,0
2025.10.24-11.56.02,468,468,0,0
2025.10.28-17.00.21,468,468,309,0
